;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-11-01 00:00:00+00:00;230.1837516784668;187.83850021362304;166.99899978637694;580.4355010986328;418.87706146240237;137.054056930542
2024-11-04 00:00:00+00:00;230.19973373413086;188.5875;167.3134994506836;579.2304992675781;418.8231689453125;137.47052841186525
2024-11-05 00:00:00+00:00;230.0838607788086;189.42649993896484;167.59899978637696;578.2074981689453;418.66099243164064;137.82150421142578
2024-11-06 00:00:00+00:00;229.74323577880858;190.52249984741212;168.3625;577.2844970703125;418.79672088623045;138.4694595336914
2024-11-07 00:00:00+00:00;229.66532135009766;191.69250030517577;169.31750030517577;577.6779968261719;419.2752624511719;139.17291183471679
2024-11-08 00:00:00+00:00;229.6483253479004;192.6604995727539;170.08450012207032;577.6474975585937;419.5856414794922;139.81436767578126
2024-11-11 00:00:00+00:00;229.30753479003906;193.6254997253418;170.8654998779297;577.2849975585938;419.52925262451174;140.17384185791016
2024-11-12 00:00:00+00:00;228.83938446044922;194.68649978637694;171.6865005493164;577.2124969482422;419.74332427978516;141.00828323364257
2024-11-13 00:00:00+00:00;228.5191207885742;196.0470001220703;172.3740005493164;577.372998046875;420.19641876220703;141.5357467651367
2024-11-14 00:00:00+00:00;228.33537750244142;197.24449996948243;173.0160011291504;577.3844970703125;420.7039031982422;142.02721252441407
2024-11-15 00:00:00+00:00;227.848291015625;197.9254997253418;173.45800094604493;576.2649993896484;420.5462188720703;142.22619857788087
2024-11-18 00:00:00+00:00;227.43828582763672;198.55699920654297;174.00800094604492;575.227001953125;420.39552154541013;142.04821014404297
2024-11-19 00:00:00+00:00;227.0722457885742;199.30249938964843;174.64600067138673;574.1810028076172;419.9104919433594;142.21919784545898
2024-11-20 00:00:00+00:00;226.99692611694337;200.21099929809571;175.2885009765625;574.2725036621093;419.45590057373045;142.5356758117676
2024-11-21 00:00:00+00:00;226.90709533691407;200.8109992980957;175.52400131225585;574.0380035400391;418.905322265625;142.8486541748047
2024-11-22 00:00:00+00:00;226.8428108215332;201.27549896240234;175.50300140380858;573.3325042724609;418.39058685302734;142.86915283203126
2024-11-25 00:00:00+00:00;226.8291358947754;201.92849884033203;175.55750122070313;572.6800048828125;418.043196105957;142.64416885375977
2024-11-26 00:00:00+00:00;226.9114761352539;202.77999877929688;175.53150100708007;571.693002319336;417.8883392333984;142.42768402099608
2024-11-27 00:00:00+00:00;227.16561965942384;203.4304992675781;175.2655014038086;570.5630035400391;417.454541015625;142.22769775390626
2024-11-29 00:00:00+00:00;227.7490333557129;204.50499954223633;175.15550155639647;570.9000030517578;418.35062713623046;142.50217895507814
2024-12-02 00:00:00+00:00;228.59528198242188;205.1440002441406;175.17200164794923;572.1835052490235;419.4221160888672;142.66366806030274
2024-12-03 00:00:00+00:00;229.63948135375978;206.0270004272461;175.28900222778321;574.8320068359375;420.59991455078125;142.87415313720703
2024-12-04 00:00:00+00:00;230.62975997924804;206.96000061035156;175.52300186157225;576.8995086669922;421.939013671875;143.13563537597656
2024-12-05 00:00:00+00:00;231.65799789428712;207.63300094604492;175.3220016479492;578.7435089111328;423.10298309326174;143.10863723754883
2024-12-06 00:00:00+00:00;232.4384979248047;208.48200073242188;175.0325019836426;580.3470092773438;424.05247650146487;142.78714981079102
